Name,Address,Description,Category,City,GoogleMapsURL
Zauo Fishing Restaurant Osaka (FB reel),,City: Osaka | Area: NAMBA / SHINSAIBASHI | Type: Restaurant / Fishing | Status: saved | Catch-your-own fish menu,Restaurant / Fishing,Osaka,https://maps.google.com/?q=Zauo+Fishing+Restaurant+Osaka+%28FB+reel%29
All-you-can-eat Oysters (Takumi Shimizu) (FB reel),〒569-0803 大阪府高槻市高槻町14-8 幸ビル2F (Stand B / スタンドB),"City: Osaka | Area: OUTSIDE CENTRAL OSAKA | Type: Restaurant / Oysters | Price: Oyster all-you-can-eat course ¥4,980 (~฿1,195); ¥4,480 (~฿1,075) if entering before 18:00 or after 21:00; all-you-can-drink +¥1,000 | Status: saved | Miyagi oysters - 12 different oyster dishes",Restaurant / Oysters,Osaka,https://maps.google.com/?q=%E3%80%92569-0803+%E5%A4%A7%E9%98%AA%E5%BA%9C%E9%AB%98%E6%A7%BB%E5%B8%82%E9%AB%98%E6%A7%BB%E7%94%BA14-8+%E5%B9%B8%E3%83%93%E3%83%AB2F+%28Stand+B+%2F+%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89B%29
Umeda A5 Wagyu BBQ All-you-can-eat (IG Reel),,"City: Osaka | Area: UMEDA | Type: Restaurant / BBQ | Price: From ¥1,480 (~฿330) to ¥4,090 (~฿950) full A5 plan | Status: saved | A5 skirt steak + kalbi + curry + karaage",Restaurant / BBQ,Osaka,https://maps.google.com/?q=Umeda+A5+Wagyu+BBQ+All-you-can-eat+%28IG+Reel%29
Bacchanale Shellfish Bar / 貝バル Bacchanale (IG Reel),,City: Osaka | Area: NAMBA / SHINSAIBASHI | Type: Restaurant / Seafood Bar | Status: saved | White clam shabu-shabu (白ハマグリしゃぶしゃぶ),Restaurant / Seafood Bar,Osaka,https://maps.google.com/?q=Bacchanale+Shellfish+Bar+%2F+%E8%B2%9D%E3%83%90%E3%83%AB+Bacchanale+%28IG+Reel%29
Yakiniku Gang / 焼肉ギャング 梅田店 (IG Reel),,"City: Osaka | Area: UMEDA | Type: Restaurant / Premium BBQ | Price: ~¥6,500 (~฿1,500) premium all-you-can-eat | Status: saved | A5 Wagyu + thick-cut beef tongue (タン)",Restaurant / Premium BBQ,Osaka,https://maps.google.com/?q=Yakiniku+Gang+%2F+%E7%84%BC%E8%82%89%E3%82%AE%E3%83%A3%E3%83%B3%E3%82%B0+%E6%A2%85%E7%94%B0%E5%BA%97+%28IG+Reel%29
Osaka Oyster All-You-Can-Eat Unlimited Time (IG Reel),,"City: Osaka | Area: UMEDA | Type: Restaurant / Oyster Buffet | Price: ~¥5,500 (~฿1,200-1,300) unlimited time | Status: saved | Raw oysters + oyster okonomiyaki + ikura bowls",Restaurant / Oyster Buffet,Osaka,https://maps.google.com/?q=Osaka+Oyster+All-You-Can-Eat+Unlimited+Time+%28IG+Reel%29
中トロと豚足 / Chutoro & Pork Feet (IG Reel),,"City: Osaka | Area: UMEDA | Type: Izakaya / Standing Bar | Price: Most dishes ¥49-399 (~฿12-90), drinks ~¥300. ¥1 promos! | Status: saved | Chutoro (fatty tuna) + pork feet + octopus sashimi",Izakaya / Standing Bar,Osaka,https://maps.google.com/?q=%E4%B8%AD%E3%83%88%E3%83%AD%E3%81%A8%E8%B1%9A%E8%B6%B3+%2F+Chutoro+%26+Pork+Feet+%28IG+Reel%29
Sukiyaki Tsuruya / 鶴や (IG Reel),,"City: Osaka | Area: NAMBA / SHINSAIBASHI | Type: Restaurant / Sukiyaki & Shabu-shabu | Price: ¥5,000 (~฿1,100) | Status: saved | Wagyu & Kobe beef sukiyaki with raw egg dipping",Restaurant / Sukiyaki & Shabu-shabu,Osaka,https://maps.google.com/?q=Sukiyaki+Tsuruya+%2F+%E9%B6%B4%E3%82%84+%28IG+Reel%29
Niku Tokidoki Lemon Umeda / 肉トキドキレモン 梅田 (IG Reel),,"City: Osaka | Area: UMEDA | Type: Izakaya / All-you-can-eat | Price: ¥3,000 (~฿650) all-you-can-eat + drink | Status: saved | Grilled oysters + DIY takoyaki making",Izakaya / All-you-can-eat,Osaka,https://maps.google.com/?q=Niku+Tokidoki+Lemon+Umeda+%2F+%E8%82%89%E3%83%88%E3%82%AD%E3%83%89%E3%82%AD%E3%83%AC%E3%83%A2%E3%83%B3+%E6%A2%85%E7%94%B0+%28IG+Reel%29
Tajiri Port Sunday Morning Market / 田尻漁港日曜朝市 (IG Reel),,City: Osaka | Area: OUTSIDE CENTRAL OSAKA | Type: Market / Food Experience | Price: Market prices (varies) | Status: saved | Grilled squid + octopus rice + fresh tempura,Market / Food Experience,Osaka,https://maps.google.com/?q=Tajiri+Port+Sunday+Morning+Market+%2F+%E7%94%B0%E5%B0%BB%E6%BC%81%E6%B8%AF%E6%97%A5%E6%9B%9C%E6%9C%9D%E5%B8%82+%28IG+Reel%29
Sendai Horumon Tokiwatei / 仙台ホルモン焼肉酒場 ときわ亭 (IG Reel),,"City: Osaka | Area: UMEDA | Type: Restaurant / BBQ | Price: ~¥1,999 basic AYCE / ~¥3,999 tongue-focused AYCE | Status: saved | Beef tongue (タン) all-you-can-eat + 0-second lemon sour",Restaurant / BBQ,Osaka,https://maps.google.com/?q=Sendai+Horumon+Tokiwatei+%2F+%E4%BB%99%E5%8F%B0%E3%83%9B%E3%83%AB%E3%83%A2%E3%83%B3%E7%84%BC%E8%82%89%E9%85%92%E5%A0%B4+%E3%81%A8%E3%81%8D%E3%82%8F%E4%BA%AD+%28IG+Reel%29
Kaiten Sushi Jin / 回転寿司 仁 (IG Reel),,City: Osaka | Area: KYOBASHI | Type: Restaurant / Sushi | Price: From ~¥100/plate (~฿22+) | Status: saved | Fatty tuna (maguro) + big shrimp,Restaurant / Sushi,Osaka,https://maps.google.com/?q=Kaiten+Sushi+Jin+%2F+%E5%9B%9E%E8%BB%A2%E5%AF%BF%E5%8F%B8+%E4%BB%81+%28IG+Reel%29
Yakiniku Lab Umeda / 焼肉Lab 梅田店 (IG Reel),,"City: Osaka | Area: UMEDA | Type: Restaurant / Premium BBQ | Price: From ¥4,000 (~฿880) / Premium ¥7,000 (~฿1,540) | Status: saved | Black wagyu + uni + ikura (higher plan)",Restaurant / Premium BBQ,Osaka,https://maps.google.com/?q=Yakiniku+Lab+Umeda+%2F+%E7%84%BC%E8%82%89Lab+%E6%A2%85%E7%94%B0%E5%BA%97+%28IG+Reel%29
